friends,followes,readability
0,0,3
0,0,1
569990,975522,0
0,0,0
0,0,3
569990,975522,0
353664,342787,3
0,0,2
0,0,0
0,0,1
0,0,3
34089,34114,0
353664,342787,0
0,0,3
0,0,5
0,0,2
569990,975522,0
17913,17979,2
358261,150020,4
0,0,1
0,0,3
0,0,0
0,0,1
0,0,4
569990,975522,0
894063,903261,0
0,0,3
0,0,2
616717,596782,3
0,0,4
569990,975522,0
0,0,6
0,0,4
0,0,2
127093,128617,5
0,0,3
0,0,3
0,0,3
0,0,0
0,0,2
0,0,4
0,0,3
0,0,2
0,0,2
0,0,5
0,0,3
31190,31215,0
0,0,0
0,0,3
0,0,1
247459,141328,0
0,0,0
127093,128617,0
0,0,5
942649,944949,1
416462,418512,0
0,0,0
127093,128617,2
31593,30850,1
0,0,0
0,0,2
0,0,0
118605,114819,3
0,0,0
0,0,0
0,0,2
628597,617338,4
0,0,0
44979,43167,0
0,0,0
0,0,3
0,0,0
0,0,0
0,0,2
0,0,4
0,0,4
77740,76520,2
846903,806206,1
0,0,1
422730,424756,0
0,0,0
0,0,3
358257,150016,2
0,0,0
0,0,1
894210,903764,2
0,0,2
4157,4344,1
628597,617338,0
0,0,3
0,0,3
189418,186681,1
846903,806206,3
0,0,2
79800,79476,0
0,0,5
0,0,0
0,0,1
0,0,0
0,0,2
0,0,0
0,0,2
242009,249571,0
231947,228432,3
247038,239927,1
616920,597053,1
28514,26157,2
0,0,0
77740,76520,2
0,0,1
0,0,3
0,0,3
0,0,5
0,0,0
0,0,2
0,0,1
0,0,1
457911,402901,2
0,0,0
0,0,0
37718,36462,0
0,0,1
1402,1375,3
0,0,0
242009,249571,0
0,0,3
0,0,3
118605,114819,2
0,0,0
0,0,3
118605,114819,4
0,0,2
0,0,1
614338,622508,2
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,1
0,0,0
358257,150016,0
0,0,5
44979,43167,3
0,0,5
0,0,3
942649,944949,0
628597,617338,1
0,0,1
0,0,3
330704,318461,3
0,0,0
0,0,2
846903,806206,3
537448,523515,0
0,0,2
942649,944949,1
79800,79476,1
0,0,1
0,0,0
0,0,0
0,0,2
111722,106126,2
0,0,0
0,0,1
247038,239927,3
44979,43167,1
242009,249571,0
0,0,0
0,0,0
0,0,5
628597,617338,0
0,0,2
894210,903764,0
12055,11750,2
12055,11750,3
0,0,3
10255,10664,0
4949,4925,2
0,0,0
0,0,0
1402,1375,1
31190,31215,2
0,0,1
0,0,2
31593,30850,1
0,0,0
0,0,4
0,0,0
823844,815195,5
26489,26652,0
0,0,2
0,0,3
942649,944949,0
0,0,0
616920,597053,6
0,0,3
0,0,3
846903,806206,0
894210,903764,0
37718,36462,2
0,0,4
0,0,2
0,0,1
0,0,2
231947,228432,2
0,0,0
0,0,0
0,0,0
77740,76520,2
0,0,1
0,0,4
0,0,0
0,0,0
0,0,4
0,0,6
0,0,4
0,0,0
0,0,0
0,0,2
0,0,3
0,0,4
0,0,0
996193,739521,0
62322,60724,1
457911,402901,2
0,0,0
942649,944949,0
42042,41347,0
0,0,3
0,0,4
79800,79476,2
28514,26157,4
62322,60724,0
0,0,1
0,0,1
9916,9353,2
894210,903764,3
0,0,4
0,0,0
0,0,0
0,0,2
31190,31215,2
0,0,0
37718,36462,0
0,0,1
79800,79476,4
0,0,4
0,0,1
1402,1375,0
0,0,0
28514,26157,0
0,0,4
440208,914158,2
224402,223919,1
628597,617338,0
0,0,0
0,0,1
0,0,3
537448,523515,0
37718,36462,1
0,0,0
0,0,5
62322,60724,3
0,0,4
0,0,0
46824,46236,0
189418,186681,4
0,0,0
17731,17847,5
628597,617338,0
0,0,4
0,0,2
0,0,2
0,0,3
111722,106126,0
440208,914158,4
0,0,0
127093,128617,4
628597,617338,0
0,0,3
0,0,3
0,0,4
0,0,2
44979,43167,3
0,0,5
46824,46236,1
0,0,1
0,0,0
127093,128617,2
0,0,3
247459,141328,4
0,0,2
0,0,0
440208,914158,3
0,0,4
0,0,1
358257,150016,2
537448,523515,2
118605,114819,3
0,0,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,4
0,0,1
457911,402901,3
0,0,0
0,0,0
0,0,1
224402,223919,0
0,0,2
127093,128617,0
21813,22456,0
0,0,0
0,0,1
0,0,1
31190,31215,2
0,0,0
0,0,3
0,0,2
894210,903764,1
0,0,0
247459,141328,2
0,0,0
77740,76520,1
0,0,0
0,0,0
537448,523515,3
0,0,2
0,0,0
46824,46236,0
0,0,2
0,0,3
616920,597053,0
0,0,0
628597,617338,2
44979,43167,2
0,0,2
26489,26652,1
628597,617338,0
111722,106126,4
0,0,2
0,0,1
189418,186681,3
34512,34121,0
0,0,3
0,0,4
0,0,0
77740,76520,2
0,0,4
0,0,1
0,0,2
0,0,1
0,0,0
0,0,2
21813,22456,0
0,0,3
0,0,2
0,0,3
0,0,5
0,0,0
0,0,3
0,0,1
0,0,0
0,0,5
0,0,1
0,0,4
0,0,4
416462,418512,0
0,0,3
37718,36462,0
0,0,4
0,0,1
0,0,0
44979,43167,0
942649,944949,0
0,0,1
0,0,3
0,0,2
242009,249571,0
330704,318461,5
0,0,2
440208,914158,0
0,0,0
0,0,4
111722,106126,2
4949,4925,5
0,0,0
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
31593,30850,0
0,0,3
0,0,3
247038,239927,1
0,0,0
0,0,0
0,0,1
62322,60724,0
224402,223919,0
28514,26157,4
0,0,0
457911,402901,2
0,0,0
0,0,5
77740,76520,1
996193,739521,3
0,0,0
0,0,0
9916,9353,1
37718,36462,0
846903,806206,1
0,0,3
0,0,0
0,0,6
0,0,0
10248,10271,1
537448,523515,0
0,0,3
0,0,3
26489,26652,2
26489,26652,2
996193,739521,3
616920,597053,2
0,0,5
0,0,2
0,0,3
0,0,0
0,0,0
0,0,0
0,0,2
46824,46236,3
537448,523515,2
0,0,2
0,0,2
62322,60724,0
34512,34121,0
0,0,0
28514,26157,0
0,0,3
0,0,0
28514,26157,4
0,0,4
4157,4344,1
457911,402901,2
0,0,2
0,0,1
246043,515530,1
358257,150016,4
0,0,2
0,0,3
628597,617338,0
62322,60724,1
10248,10271,0
37718,36462,4
0,0,3
0,0,1
0,0,4
0,0,1
0,0,3
0,0,0
46824,46236,2
0,0,0
0,0,3
0,0,4
0,0,4
44979,43167,0
0,0,3
37718,36462,3
0,0,0
0,0,0
0,0,5
0,0,1
189418,186681,3
0,0,1
616920,597053,0
247038,239927,1
0,0,0
0,0,5
111722,106126,0
0,0,1
0,0,2
46824,46236,1
0,0,1
0,0,3
0,0,0
189418,186681,1
330704,318461,6
0,0,3
0,0,0
0,0,0
149787,144566,1
0,0,2
0,0,1
0,0,2
0,0,0
0,0,0
942649,944949,0
246043,515530,0
246043,515530,0
0,0,3
0,0,0
0,0,2
12055,11750,4
231947,228432,0
0,0,2
247459,141328,1
0,0,2
0,0,2
189418,186681,0
457911,402901,1
0,0,4
416462,418512,2
0,0,0
0,0,2
0,0,0
17731,17847,4
1402,1375,3
0,0,0
0,0,0
0,0,2
46824,46236,3
0,0,0
0,0,0
0,0,2
0,0,0
0,0,2
0,0,0
0,0,1
4157,4344,3
0,0,0
0,0,1
0,0,3
0,0,0
0,0,3
0,0,3
0,0,1
440208,914158,1
9916,9353,0
0,0,3
21813,22456,2
416462,418512,0
0,0,0
44979,43167,2
0,0,5
246043,515530,3
440208,914158,0
0,0,0
21813,22456,0
0,0,0
0,0,3
118605,114819,0
0,0,0
13292,13292,0
0,0,0
0,0,4
42042,41347,0
996193,739521,3
0,0,1
0,0,0
440208,914158,2
0,0,5
0,0,1
0,0,4
616920,597053,0
26489,26652,1
10248,10271,0
0,0,2
0,0,4
0,0,0
0,0,0
0,0,0
0,0,2
4949,4925,2
0,0,3
149787,144566,0
416462,418512,0
0,0,0
0,0,2
0,0,4
0,0,4
0,0,2
42042,41347,4
10255,10664,3
0,0,2
0,0,1
416462,418512,0
37718,36462,0
0,0,0
79800,79476,0
330704,318461,4
0,0,4
537448,523515,1
21813,22456,0
0,0,3
0,0,0
0,0,4
0,0,0
0,0,1
416462,418512,3
0,0,0
0,0,3
0,0,2
0,0,3
0,0,3
358257,150016,0
0,0,1
34512,34121,0
0,0,2
10248,10271,2
0,0,0
0,0,2
0,0,4
0,0,4
0,0,0
0,0,6
0,0,3
0,0,0
0,0,2
149787,144566,0
0,0,0
846903,806206,1
37718,36462,1
616920,597053,0
79800,79476,0
79800,79476,0
77740,76520,2
0,0,1
111722,106126,0
0,0,0
0,0,0
37718,36462,0
0,0,0
628597,617338,0
118605,114819,1
0,0,0
628597,617338,0
0,0,2
0,0,4
247459,141328,1
242009,249571,2
0,0,1
62322,60724,0
0,0,3
28514,26157,1
0,0,0
149787,144566,0
0,0,1
9916,9353,3
457911,402901,4
31190,31215,0
0,0,1
4949,4925,0
846903,806206,2
616920,597053,2
118605,114819,1
31190,31215,0
79800,79476,0
0,0,3
6864,6990,4
6864,6990,2
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,4
0,0,0
0,0,3
44979,43167,0
62322,60724,4
0,0,4
440208,914158,3
0,0,2
0,0,0
0,0,2
77740,76520,3
0,0,4
0,0,1
31593,30850,2
149787,144566,1
37718,36462,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,0
0,0,0
628597,617338,0
9916,9353,2
0,0,2
77740,76520,2
416462,418512,0
37718,36462,4
823844,815195,0
0,0,0
0,0,2
189418,186681,0
224402,223919,0
0,0,2
0,0,3
0,0,1
31593,30850,0
189418,186681,2
0,0,0
0,0,4
628597,617338,0
0,0,0
0,0,3
0,0,3
0,0,0
26489,26652,0
1711,1675,0
149787,144566,1
0,0,3
0,0,1
942649,944949,1
21813,22456,0
0,0,4
0,0,2
0,0,2
10074,10560,0
242009,249571,4
31190,31215,2
0,0,1
0,0,0
0,0,2
0,0,4
4949,4925,0
0,0,2
0,0,0
62322,60724,0
537448,523515,1
31190,31215,1
0,0,1
0,0,4
149787,144566,4
0,0,0
0,0,1
0,0,3
0,0,2
0,0,2
1402,1375,0
26489,26652,1
246043,515530,0
628597,617338,1
149787,144566,0
0,0,0
0,0,3
0,0,2
44979,43167,1
0,0,0
996193,739521,4
0,0,1
231947,228432,3
118605,114819,2
0,0,3
0,0,3
0,0,0
77740,76520,4
0,0,0
224402,223919,0
440208,914158,3
0,0,1
0,0,0
111722,106126,1
614338,622508,0
44979,43167,2
0,0,1
118605,114819,0
358257,150016,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,4
0,0,3
0,0,2
0,0,1
0,0,0
0,0,2
231947,228432,1
0,0,4
62322,60724,2
1402,1375,0
846903,806206,3
463353,455329,2
0,0,0
0,0,0
0,0,0
127093,128617,1
28514,26157,4
0,0,0
0,0,1
0,0,1
0,0,2
0,0,1
0,0,1
0,0,0
0,0,2
0,0,0
0,0,3
0,0,3
0,0,3
0,0,2
330704,318461,2
0,0,3
0,0,4
0,0,2
0,0,0
0,0,0
0,0,3
31593,30850,0
0,0,0
37718,36462,0
77740,76520,2
46824,46236,3
21813,22456,0
996193,739521,0
0,0,3
463353,455329,0
1402,1375,0
0,0,0
26489,26652,1
0,0,2
0,0,0
0,0,3
846903,806206,4
0,0,2
0,0,3
0,0,0
149787,144566,0
0,0,0
26489,26652,2
247459,141328,0
0,0,6
0,0,0
0,0,2
0,0,2
0,0,1
111722,106126,0
0,0,0
37718,36462,0
118605,114819,4
0,0,2
0,0,0
0,0,1
4949,4925,0
79800,79476,4
0,0,3
0,0,4
