website_type,safety_r,reputation,trustworthiness,child_safety,date
2,1,2.1,42,58,803
2,2,3.1,63,68,818
2,1,4,80,93,797
2,1,4.3,87,0,816
2,1,0,0,0,802
2,1,3.3,66,61,820
2,1,3.3,66,61,820
2,1,0,0,0,809
2,1,0,0,0,799
2,1,0,0,0,805
2,1,2.4,48,3,817
2,2,4.5,89,87,801
2,1,0,0,0,808
2,2,4.7,94,82,806
2,1,4,80,93,805
2,1,0,0,0,793
2,1,0,0,0,803
2,1,3.8,76,97,810
2,1,2.8,56,56,793
2,1,4.3,87,0,812
2,2,4.7,94,82,808
2,2,4.7,94,82,814
3,1,3.9,78,82,811
2,2,3.1,63,68,819
2,1,3,60,0,815
2,1,3.1,63,77,814
2,1,4,80,93,807
2,1,2.8,56,56,811
2,1,0,0,0,812
2,1,4,80,93,812
2,1,2.1,42,58,813
1,1,3,60,54,809
2,1,2.5,50,11,809
2,2,4.7,94,82,820
2,2,3.1,63,68,818
2,1,2.5,50,0,802
2,1,4,80,93,807
2,1,2.8,56,56,803
2,1,3.1,63,77,818
2,1,4,80,93,807
2,1,0,0,0,806
2,1,4.3,87,0,807
2,2,4.3,87,87,818
2,1,3.1,63,77,819
2,1,0,0,0,797
2,2,3.5,70,74,810
2,2,4.3,86,89,808
2,1,4,80,93,806
2,2,4.7,94,82,813
2,1,3.3,66,61,820
2,1,0,0,0,814
2,1,0,0,0,816
2,1,4,80,93,793
2,1,0,0,0,817
2,1,4,80,93,793
2,2,3.1,63,68,818
2,1,0,0,0,797
2,1,4,80,93,797
2,1,4.3,87,0,809
2,2,4.1,82,90,819
2,1,2.5,50,38,798
2,1,3.1,63,77,808
2,2,3.5,69,70,792
2,1,4,80,93,806
2,2,4,81,84,812
2,1,2.5,50,29,805
2,1,2.8,56,56,818
2,1,0,0,0,797
2,1,0,0,0,812
2,1,0,0,0,806
2,1,3,69,60,808
2,2,4.3,86,89,811
2,2,3.1,63,68,819
2,2,3.9,77,99,820
2,1,4.3,87,0,812
2,2,3.1,63,68,819
2,1,4,80,93,801
2,1,3.4,68,79,801
2,1,0,0,0,818
2,1,0,0,0,815
2,1,4.6,92,90,807
2,1,4,80,93,801
2,2,4.5,89,87,814
2,2,3.1,63,68,818
2,1,4,80,93,813
2,2,4.7,94,82,812
2,2,4.7,94,94,813
2,1,0,0,0,799
2,1,3.2,64,98,811
2,2,4,81,84,806
3,1,2.5,50,52,792
7,2,4.7,93,89,818
2,2,4.7,94,82,811
