date,sentiment
820,0.200487872
820,0.394088738
816,0.554842543
805,0.459929078
818,0.457800284
819,0.384271099
819,0.424500719
802,0.384683341
809,0.517029221
814,0.372990916
812,0.47892785
818,0.531691919
815,0.477678571
818,0.462891156
814,0.345292208
810,0.546333333
814,0.536202686
813,0.474131944
797,0.540344278
817,0.62375
812,0.432389832
818,0.545454545
811,0.370132655
814,0.4625
808,0.65
816,0.457804648
817,0.316287879
820,0.561429156
798,0.602839782
809,0.464365664
815,0.383333333
804,0.300505051
818,0.417624855
806,0.550297619
807,0.467857143
811,0.475829726
799,0.441666667
816,0.358658009
807,0.432666667
811,0.576654909
807,0.73974359
794,0.373768351
799,0.472354114
818,0.471551724
801,0.403030303
812,0.29925362
792,0.383426704
819,0.542582418
812,0.406990232
820,0.451412816
817,0.434891775
792,0.6175
804,0.476903139
811,0.363888889
802,0.547737374
817,0.37967773
820,0.5
818,0.359030486
800,0.481293385
820,0.376055499
798,0.493988095
818,0.328571429
811,0.509667648
819,0.52359561
793,0.3254995
819,0.279315476
808,0.494444444
805,0.344166667
810,0.437875481
798,0.528535354
811,0.571649184
797,0.488869048
819,0.378548086
817,0.299859307
820,0.533225108
793,0.406719368
811,0.469595324
804,0.363455988
792,0.379244453
809,0.357199797
819,0.348412698
814,0.48552963
819,0.415747126
805,0.347619048
814,0.468324757
818,0.598848605
797,0.377749466
792,0.301670844
805,0.401591045
791,0.507184343
818,0.386404184
813,0.311848073
819,0.473911529
819,0.690202621
819,0.464854769
805,0.443410918
818,0.35105364
819,0.571041667
818,0.49054061
819,0.239049587
819,0.399163449
804,0.661458333
817,0.364766082
818,0.387799623
790,0.406616162
815,0.533443223
810,0.309548611
806,0.501449275
812,0.468618101
792,0.330964282
811,0.32760989
820,0.5
819,0.197619048
817,0.468120227
792,0
796,0.457612808
817,0.187621151
814,0.377913753
806,0.487400794
817,0.451992225
812,0.348484848
791,0.451455026
819,0.439243943
798,0.447359963
815,0.48261034
811,0.419406751
819,0.497058488
791,0.515559764
818,0.444534203
811,0.417910768
818,0.420540838
816,0.489999359
812,0.614069264
803,0.495424837
819,0.442692308
802,0.448825307
808,0.364609002
819,0.398577864
793,0.445163571
820,0.35
800,0.393877165
809,0.477576811
818,0.453126012
820,0.526471512
809,0.44375
819,0.543518519
791,0.477515444
819,0.446755369
811,0.390597729
807,0.457482913
814,0.475858586
819,0.515348124
820,0.572077922
817,0.36932966
814,0.438688578
812,0.293903319
795,0.355980333
814,0.497616959
819,0.335449735
808,0.332628571
812,0.200592449
809,0.875
816,0.431292833
819,0.508783269
811,0.281481481
795,0.554712341
793,0.458110119
811,0.475638436
807,0.488974567
818,0.424411128
795,0.496952381
817,0.302742195
800,0.595089286
790,0.406712963
804,0.362687495
819,0.38216025
817,0.410729437
820,0.407310606
818,0.414072837
809,0.403795094
818,0.305555556
818,0.35496633
815,0.42164787
810,0.448316017
798,0.423977874
797,0.416948175
802,0.166527778
804,0.465865633
814,0.357960707
799,0.482063492
797,0.471061547
814,0.220447749
820,0.4
800,0.395642466
819,0.293988095
812,0.445416667
808,0.653333333
817,0.328143939
790,0.264814815
815,0.328251303
818,0.667424242
796,0.51671832
790,0.534995895
813,0.437698413
811,0.492817571
806,0.38
816,0.290117845
816,0.480125319
812,0.395441293
813,0.565972222
818,0.535097687
811,0.400152229
792,0.444488516
792,0.392471086
819,0.39273183
792,0.46965873
812,0.513425926
797,0.407222222
797,0.393670717
815,0.325
813,0.426970802
806,0.587581699
819,0.445670996
809,0.533712121
802,0.67
819,0.415897066
800,0.238461538
818,0.740588116
819,0.437975702
805,0.466834734
818,0.516924675
803,0.453851402
818,0.304507811
811,0.449350649
814,0.245463253
819,0.472967358
808,0.510767316
816,0.376041667
818,0.409036973
791,0.355688279
803,0.564652015
810,0.477047619
819,0.452235772
807,0.387574272
812,0.472559487
820,0.151515152
801,0.369674494
815,0.492104543
809,0.44987437
819,0.281510417
802,0.49109063
794,0.37512285
814,0.457051282
806,0.325226757
805,0.519028723
804,0.413733394
816,0.470491242
812,0.40767071
818,0.472624684
799,0.490999412
820,0.25
812,0.489452561
812,0.360871212
804,0.411612979
797,0.353628118
801,0.417283951
819,0.436111111
807,0.329565099
813,0.683766234
819,0.401136364
790,0.260606061
820,0.470735786
817,0.485858586
794,0.57173913
800,0.41979782
816,0.55
817,0.412884113
790,0.356052245
809,0.425454545
813,0.441879026
792,0.467824074
802,0.382783883
805,0.089285714
820,0.412184196
803,0.505333366
797,0.557256236
818,0.505883251
799,0.349411649
818,0.388748097
819,0.256623049
811,0.333333333
811,0.487121212
817,0.523504274
820,0.450666439
800,0.331565657
802,0.744444444
814,0.232706767
814,0.402702703
810,0.378869048
801,0.436306599
811,0.464403292
809,0.322671156
817,0.433041958
803,0.428737542
818,0.429106428
818,0.266798942
818,0.326402918
807,0.545289855
813,0.461238974
818,0.427813853
793,0.38447205
798,0.507945869
814,0.389257002
814,0.6875
800,0.571666667
804,0.401398601
813,0.437032086
815,0.16547619
806,0.395192308
812,0.615674603
818,0.4375
806,0.694128788
815,0.487445887
815,0.417261905
807,0.403703704
819,0.6
792,0.50238837
812,0.480062823
820,0.269967532
805,0.44625
791,0.716666667
818,0.389177489
814,0.469601462
814,0.486805312
818,0.484920635
818,0.361111111
819,0.53030303
817,0.5
820,0.213888889
807,0.385409091
805,0.472929607
799,0.358664021
819,0.464454853
805,0.45797619
811,0.327638889
819,0.57213955
814,0.306344339
794,0.416017316
818,0.446200261
805,0.286875
