replies_count,participants_count,likes,comments,shares,website_type,safety_r,reputation,trustworthiness,child_safety,domain_rank,sentiment
0,0,0,0,0,2,1,3,60,0,0,0.3
0,0,0,0,0,3,1,3.9,78,82,0,0.480612245
0,0,0,0,0,2,1,0,0,0,30230,0.509297052
0,0,0,0,0,2,1,2.5,50,28,0,0.447569444
0,0,0,0,0,2,2,3.1,63,68,0,0.515625
0,0,0,0,0,2,1,1.8,35,41,0,0.450883838
0,0,0,0,0,2,1,4,80,93,43327,0.493771173
0,0,0,0,0,2,1,0,0,0,3921,0.435157322
0,0,0,0,0,1,2,3.6,72,85,15846,0.451851852
0,0,0,0,0,2,1,0,0,0,0,0.349562937
0,1,0,0,0,2,1,0,0,0,0,0.294124717
0,0,0,0,0,2,1,0,0,0,0,0.539119769
0,0,0,0,0,2,1,3,61,68,0,0.382782072
0,1,0,0,0,2,2,4,81,76,12993,0.578125
0,0,0,0,0,2,2,4,81,85,14170,0.496053946
0,0,0,0,0,2,1,4,80,93,43327,0.425793651
0,0,0,0,0,2,1,4,80,93,43327,0.656390977
0,1,0,0,0,2,1,0,0,0,0,0.39521919
0,0,0,0,0,2,1,2.5,50,11,0,0.421796537
0,0,0,0,0,2,1,4,80,93,43327,0.432756133
0,0,0,0,0,1,2,3.6,72,85,15846,0.55469697
0,0,0,0,0,2,1,3,60,62,0,0.319770408
0,1,0,0,0,2,2,4.5,89,87,82758,0.440715517
0,0,0,0,0,2,2,4.7,94,82,2182,0.423411095
0,1,0,0,0,2,2,4.5,89,87,82758,0.460995748
0,0,0,0,0,2,1,0,0,0,0,0.428885582
0,0,0,0,0,2,1,2.5,50,29,0,0.484499618
0,1,0,0,0,2,2,3.9,77,99,6659,0.6375
0,0,0,0,0,2,1,0,0,0,0,0.424338624
0,1,0,0,0,2,2,4.5,89,87,82758,0.43959666
0,0,0,0,0,2,1,3.6,72,93,0,0.39714425
0,1,0,0,0,2,1,2.5,50,46,68691,0.454697575
